Houston,LosAngeles,Miami,NewYork,Age,Gender,Subscription_Length_Months,Monthly_Bill,Total_Usage_GB,Churn
0.0,0.0,0.0,1.0,18.0,1.0,12.0,68.91,226.0,1.0
0.0,1.0,0.0,0.0,20.0,1.0,18.0,75.69,393.0,0.0
1.0,0.0,0.0,0.0,46.0,1.0,17.0,81.76,89.0,1.0
0.0,1.0,0.0,0.0,25.0,0.0,2.0,82.74,183.0,0.0
0.0,0.0,1.0,0.0,31.0,0.0,5.0,72.09,270.0,0.0
0.0,1.0,0.0,0.0,53.0,0.0,19.0,93.91,456.0,1.0
0.0,0.0,1.0,0.0,27.0,1.0,1.0,42.92,135.0,1.0
0.0,0.0,0.0,1.0,18.0,0.0,9.0,75.74,185.0,0.0
0.0,0.0,1.0,0.0,66.0,1.0,3.0,61.1,151.0,1.0
0.0,0.0,1.0,0.0,62.0,0.0,9.0,77.35,115.0,1.0
0.0,1.0,0.0,0.0,29.0,0.0,10.0,79.82,269.0,1.0
0.0,0.0,0.0,1.0,62.0,0.0,19.0,73.5,194.0,1.0
0.0,0.0,0.0,0.0,66.0,1.0,15.0,59.0,278.0,1.0
0.0,0.0,0.0,1.0,36.0,0.0,17.0,47.22,423.0,1.0
0.0,0.0,1.0,0.0,60.0,0.0,18.0,97.11,202.0,0.0
0.0,0.0,1.0,0.0,26.0,0.0,1.0,46.16,495.0,0.0
0.0,0.0,0.0,0.0,45.0,1.0,14.0,70.11,162.0,0.0
0.0,0.0,1.0,0.0,55.0,0.0,16.0,72.67,101.0,1.0
0.0,0.0,1.0,0.0,19.0,1.0,14.0,39.69,294.0,0.0
0.0,0.0,1.0,0.0,20.0,1.0,20.0,79.84,122.0,1.0
1.0,0.0,0.0,0.0,26.0,1.0,3.0,82.46,305.0,0.0
0.0,0.0,0.0,1.0,37.0,1.0,15.0,92.78,212.0,1.0
0.0,0.0,0.0,0.0,63.0,1.0,1.0,64.82,220.0,1.0
0.0,1.0,0.0,0.0,27.0,0.0,6.0,61.98,253.0,1.0
0.0,0.0,0.0,1.0,66.0,0.0,15.0,70.41,135.0,0.0
0.0,0.0,1.0,0.0,49.0,1.0,17.0,53.26,278.0,1.0
0.0,0.0,0.0,1.0,38.0,1.0,7.0,44.73,411.0,1.0
0.0,0.0,0.0,0.0,25.0,1.0,14.0,38.28,447.0,1.0
0.0,0.0,0.0,0.0,53.0,0.0,3.0,40.71,218.0,0.0
1.0,0.0,0.0,0.0,29.0,1.0,24.0,94.31,221.0,1.0
0.0,0.0,0.0,0.0,57.0,0.0,20.0,42.36,243.0,1.0
0.0,0.0,1.0,0.0,47.0,0.0,8.0,35.43,166.0,0.0
0.0,1.0,0.0,0.0,47.0,1.0,19.0,93.39,64.0,1.0
0.0,1.0,0.0,0.0,70.0,0.0,3.0,75.58,67.0,1.0
0.0,0.0,0.0,1.0,18.0,1.0,22.0,87.67,391.0,0.0
0.0,0.0,0.0,1.0,36.0,0.0,23.0,42.56,232.0,1.0
1.0,0.0,0.0,0.0,31.0,1.0,12.0,47.67,298.0,0.0
0.0,0.0,0.0,1.0,48.0,1.0,16.0,41.1,334.0,1.0
0.0,1.0,0.0,0.0,53.0,0.0,8.0,61.96,326.0,0.0
1.0,0.0,0.0,0.0,64.0,0.0,10.0,73.94,459.0,0.0
0.0,0.0,0.0,1.0,70.0,0.0,7.0,62.67,371.0,1.0
0.0,0.0,0.0,0.0,20.0,1.0,20.0,51.95,299.0,1.0
0.0,0.0,1.0,0.0,67.0,0.0,24.0,57.31,376.0,1.0
0.0,1.0,0.0,0.0,37.0,1.0,1.0,74.99,214.0,0.0
1.0,0.0,0.0,0.0,62.0,1.0,6.0,43.42,329.0,0.0
0.0,0.0,1.0,0.0,26.0,1.0,11.0,70.83,50.0,1.0
0.0,1.0,0.0,0.0,38.0,0.0,21.0,34.06,444.0,1.0
1.0,0.0,0.0,0.0,25.0,0.0,9.0,58.42,113.0,0.0
0.0,1.0,0.0,0.0,40.0,1.0,20.0,93.09,76.0,1.0
1.0,0.0,0.0,0.0,47.0,1.0,14.0,89.24,134.0,0.0
0.0,0.0,1.0,0.0,21.0,0.0,22.0,97.97,184.0,1.0
0.0,1.0,0.0,0.0,27.0,0.0,18.0,98.2,319.0,0.0
0.0,0.0,1.0,0.0,24.0,0.0,21.0,37.5,235.0,0.0
0.0,1.0,0.0,0.0,33.0,0.0,2.0,83.74,85.0,0.0
1.0,0.0,0.0,0.0,51.0,0.0,1.0,82.58,332.0,1.0
1.0,0.0,0.0,0.0,48.0,1.0,23.0,83.84,73.0,1.0
0.0,0.0,1.0,0.0,35.0,1.0,13.0,47.9,184.0,0.0
0.0,0.0,0.0,0.0,24.0,0.0,22.0,87.1,369.0,1.0
0.0,1.0,0.0,0.0,33.0,1.0,3.0,70.27,308.0,1.0
0.0,1.0,0.0,0.0,44.0,0.0,21.0,73.86,446.0,0.0
0.0,0.0,0.0,1.0,69.0,1.0,8.0,35.13,321.0,0.0
0.0,1.0,0.0,0.0,21.0,1.0,17.0,55.84,83.0,0.0
0.0,0.0,0.0,1.0,21.0,0.0,18.0,72.41,371.0,0.0
1.0,0.0,0.0,0.0,50.0,0.0,10.0,49.0,114.0,0.0
0.0,0.0,1.0,0.0,20.0,1.0,16.0,49.22,296.0,1.0
1.0,0.0,0.0,0.0,42.0,0.0,14.0,73.36,102.0,0.0
0.0,0.0,0.0,1.0,61.0,1.0,22.0,86.3,215.0,0.0
0.0,0.0,0.0,0.0,31.0,1.0,24.0,49.1,169.0,0.0
0.0,0.0,0.0,0.0,67.0,0.0,15.0,45.59,115.0,1.0
0.0,0.0,0.0,0.0,53.0,1.0,4.0,49.5,225.0,1.0
0.0,0.0,0.0,1.0,40.0,0.0,17.0,85.3,140.0,1.0
0.0,0.0,1.0,0.0,61.0,1.0,20.0,56.0,278.0,1.0
0.0,0.0,1.0,0.0,52.0,0.0,17.0,95.85,84.0,0.0
1.0,0.0,0.0,0.0,39.0,0.0,3.0,66.71,463.0,1.0
0.0,1.0,0.0,0.0,46.0,1.0,9.0,51.08,402.0,1.0
0.0,0.0,0.0,1.0,56.0,0.0,2.0,46.34,468.0,0.0
0.0,0.0,0.0,0.0,59.0,0.0,20.0,30.93,375.0,1.0
0.0,0.0,0.0,0.0,62.0,1.0,2.0,55.59,366.0,1.0
0.0,1.0,0.0,0.0,59.0,0.0,6.0,53.26,404.0,1.0
0.0,0.0,0.0,0.0,65.0,1.0,15.0,31.35,471.0,0.0
0.0,1.0,0.0,0.0,44.0,1.0,2.0,70.78,204.0,1.0
0.0,0.0,0.0,0.0,52.0,0.0,1.0,42.33,320.0,0.0
0.0,1.0,0.0,0.0,26.0,0.0,12.0,99.3,178.0,1.0
0.0,1.0,0.0,0.0,40.0,0.0,18.0,82.81,214.0,1.0
0.0,1.0,0.0,0.0,45.0,1.0,6.0,80.72,149.0,0.0
0.0,0.0,0.0,1.0,59.0,0.0,8.0,49.35,361.0,1.0
1.0,0.0,0.0,0.0,60.0,0.0,10.0,72.78,304.0,1.0
0.0,0.0,0.0,1.0,70.0,0.0,24.0,34.53,236.0,0.0
1.0,0.0,0.0,0.0,63.0,1.0,11.0,66.79,150.0,0.0
0.0,0.0,0.0,1.0,22.0,1.0,9.0,60.71,281.0,1.0
0.0,1.0,0.0,0.0,55.0,0.0,20.0,34.78,177.0,0.0
1.0,0.0,0.0,0.0,40.0,0.0,8.0,38.71,117.0,0.0
0.0,1.0,0.0,0.0,63.0,0.0,14.0,48.51,137.0,1.0
0.0,0.0,1.0,0.0,63.0,0.0,9.0,97.71,322.0,0.0
0.0,1.0,0.0,0.0,28.0,1.0,5.0,61.14,427.0,0.0
0.0,0.0,1.0,0.0,26.0,1.0,21.0,62.0,403.0,1.0
1.0,0.0,0.0,0.0,57.0,0.0,18.0,36.89,237.0,0.0
0.0,1.0,0.0,0.0,43.0,0.0,6.0,74.7,439.0,1.0
1.0,0.0,0.0,0.0,49.0,0.0,22.0,90.88,336.0,1.0
0.0,0.0,0.0,0.0,67.0,1.0,5.0,39.68,344.0,0.0
0.0,0.0,1.0,0.0,30.0,1.0,3.0,55.16,288.0,0.0
0.0,0.0,0.0,1.0,42.0,0.0,22.0,63.77,102.0,0.0
0.0,0.0,0.0,0.0,28.0,1.0,15.0,58.53,257.0,1.0
0.0,0.0,0.0,0.0,69.0,1.0,9.0,87.5,196.0,1.0
1.0,0.0,0.0,0.0,66.0,0.0,9.0,71.4,365.0,0.0
1.0,0.0,0.0,0.0,49.0,0.0,1.0,37.98,419.0,1.0
0.0,0.0,0.0,1.0,26.0,0.0,22.0,31.65,215.0,0.0
0.0,0.0,0.0,0.0,40.0,0.0,18.0,66.53,111.0,1.0
1.0,0.0,0.0,0.0,29.0,1.0,16.0,68.82,113.0,1.0
1.0,0.0,0.0,0.0,48.0,0.0,5.0,43.93,427.0,0.0
0.0,0.0,0.0,1.0,31.0,1.0,4.0,79.23,344.0,1.0
0.0,0.0,0.0,0.0,39.0,0.0,8.0,77.82,192.0,0.0
0.0,0.0,0.0,1.0,46.0,0.0,19.0,38.16,244.0,1.0
0.0,0.0,1.0,0.0,56.0,0.0,7.0,40.95,287.0,0.0
0.0,0.0,0.0,0.0,27.0,1.0,21.0,57.12,395.0,0.0
1.0,0.0,0.0,0.0,54.0,0.0,8.0,34.12,213.0,1.0
0.0,0.0,0.0,0.0,45.0,0.0,13.0,82.95,109.0,1.0
1.0,0.0,0.0,0.0,43.0,0.0,15.0,65.57,140.0,0.0
0.0,1.0,0.0,0.0,19.0,0.0,1.0,43.17,286.0,0.0
0.0,1.0,0.0,0.0,46.0,0.0,4.0,61.6,283.0,1.0
0.0,0.0,0.0,0.0,18.0,1.0,12.0,40.93,230.0,1.0
0.0,0.0,0.0,1.0,41.0,0.0,22.0,87.74,192.0,0.0
0.0,0.0,0.0,0.0,56.0,1.0,6.0,82.51,491.0,0.0
0.0,0.0,0.0,0.0,40.0,0.0,4.0,79.86,274.0,1.0
0.0,0.0,0.0,0.0,61.0,1.0,2.0,98.9,335.0,1.0
1.0,0.0,0.0,0.0,37.0,0.0,12.0,40.67,462.0,1.0
0.0,1.0,0.0,0.0,27.0,1.0,12.0,84.66,101.0,0.0
1.0,0.0,0.0,0.0,49.0,0.0,12.0,44.74,369.0,0.0
1.0,0.0,0.0,0.0,19.0,1.0,13.0,64.1,442.0,1.0
1.0,0.0,0.0,0.0,50.0,1.0,21.0,81.84,407.0,0.0
1.0,0.0,0.0,0.0,41.0,0.0,8.0,92.06,126.0,1.0
1.0,0.0,0.0,0.0,52.0,1.0,20.0,90.9,396.0,0.0
1.0,0.0,0.0,0.0,50.0,1.0,23.0,41.24,64.0,0.0
0.0,0.0,0.0,1.0,68.0,0.0,7.0,92.9,199.0,1.0
0.0,0.0,1.0,0.0,41.0,1.0,21.0,80.3,351.0,1.0
0.0,0.0,0.0,1.0,26.0,0.0,23.0,87.42,261.0,0.0
1.0,0.0,0.0,0.0,52.0,1.0,3.0,38.11,376.0,0.0
0.0,0.0,0.0,0.0,37.0,1.0,14.0,63.78,321.0,1.0
0.0,0.0,1.0,0.0,68.0,1.0,5.0,40.9,496.0,0.0
0.0,0.0,1.0,0.0,22.0,1.0,10.0,64.04,89.0,1.0
0.0,1.0,0.0,0.0,48.0,0.0,10.0,36.44,162.0,1.0
0.0,0.0,0.0,0.0,33.0,0.0,15.0,70.28,480.0,1.0
1.0,0.0,0.0,0.0,66.0,0.0,20.0,35.34,400.0,1.0
1.0,0.0,0.0,0.0,33.0,1.0,1.0,95.13,320.0,0.0
0.0,1.0,0.0,0.0,35.0,1.0,3.0,36.48,303.0,1.0
1.0,0.0,0.0,0.0,19.0,1.0,10.0,89.65,197.0,0.0
0.0,0.0,1.0,0.0,56.0,1.0,18.0,56.81,218.0,0.0
0.0,0.0,1.0,0.0,54.0,1.0,2.0,86.68,225.0,1.0
1.0,0.0,0.0,0.0,53.0,0.0,10.0,47.57,134.0,0.0
0.0,0.0,0.0,1.0,34.0,0.0,1.0,65.08,181.0,0.0
1.0,0.0,0.0,0.0,66.0,1.0,21.0,71.73,231.0,0.0
1.0,0.0,0.0,0.0,39.0,1.0,11.0,39.55,474.0,0.0
0.0,1.0,0.0,0.0,53.0,0.0,17.0,44.07,348.0,0.0
0.0,1.0,0.0,0.0,31.0,0.0,21.0,35.29,112.0,1.0
0.0,0.0,0.0,0.0,41.0,1.0,13.0,67.09,419.0,1.0
1.0,0.0,0.0,0.0,61.0,1.0,23.0,66.52,457.0,0.0
1.0,0.0,0.0,0.0,34.0,0.0,4.0,46.49,54.0,1.0
0.0,0.0,0.0,0.0,61.0,1.0,13.0,54.37,122.0,0.0
0.0,0.0,0.0,1.0,26.0,0.0,2.0,92.47,397.0,1.0
1.0,0.0,0.0,0.0,70.0,1.0,6.0,42.26,100.0,1.0
0.0,0.0,1.0,0.0,54.0,1.0,3.0,56.44,463.0,1.0
0.0,0.0,0.0,1.0,52.0,1.0,17.0,75.12,318.0,1.0
0.0,0.0,0.0,0.0,35.0,1.0,20.0,86.55,242.0,1.0
1.0,0.0,0.0,0.0,18.0,0.0,3.0,74.14,327.0,0.0
0.0,1.0,0.0,0.0,56.0,1.0,10.0,97.94,84.0,1.0
1.0,0.0,0.0,0.0,62.0,1.0,20.0,82.82,476.0,0.0
0.0,0.0,0.0,1.0,62.0,0.0,4.0,85.73,256.0,0.0
0.0,1.0,0.0,0.0,37.0,0.0,15.0,58.81,241.0,1.0
1.0,0.0,0.0,0.0,24.0,1.0,24.0,77.85,466.0,0.0
0.0,0.0,0.0,0.0,32.0,1.0,1.0,44.58,438.0,1.0
1.0,0.0,0.0,0.0,27.0,1.0,4.0,66.4,51.0,1.0
0.0,1.0,0.0,0.0,43.0,1.0,1.0,55.18,165.0,1.0
0.0,0.0,0.0,0.0,53.0,1.0,11.0,79.66,120.0,1.0
1.0,0.0,0.0,0.0,46.0,1.0,1.0,96.75,493.0,1.0
0.0,0.0,0.0,0.0,43.0,1.0,1.0,84.36,150.0,1.0
0.0,1.0,0.0,0.0,64.0,0.0,15.0,56.53,59.0,0.0
0.0,1.0,0.0,0.0,29.0,0.0,7.0,98.2,188.0,0.0
0.0,0.0,0.0,1.0,54.0,0.0,5.0,72.36,339.0,1.0
0.0,0.0,1.0,0.0,60.0,1.0,18.0,97.06,167.0,1.0
1.0,0.0,0.0,0.0,37.0,1.0,10.0,57.34,120.0,1.0
0.0,0.0,0.0,0.0,24.0,1.0,20.0,30.52,371.0,0.0
0.0,0.0,0.0,1.0,64.0,1.0,22.0,79.41,114.0,0.0
0.0,0.0,0.0,0.0,29.0,1.0,2.0,89.42,236.0,0.0
0.0,1.0,0.0,0.0,50.0,0.0,19.0,56.3,114.0,0.0
0.0,0.0,0.0,1.0,59.0,1.0,1.0,48.14,301.0,1.0
1.0,0.0,0.0,0.0,21.0,1.0,2.0,66.9,209.0,0.0
0.0,0.0,0.0,0.0,65.0,0.0,19.0,93.59,311.0,0.0
0.0,0.0,0.0,0.0,42.0,1.0,8.0,78.06,236.0,0.0
0.0,1.0,0.0,0.0,32.0,0.0,9.0,72.83,496.0,0.0
0.0,0.0,0.0,0.0,51.0,0.0,21.0,95.01,429.0,0.0
0.0,0.0,0.0,1.0,40.0,0.0,24.0,45.87,459.0,0.0
0.0,1.0,0.0,0.0,62.0,0.0,14.0,77.0,305.0,1.0
0.0,0.0,0.0,0.0,55.0,0.0,3.0,47.48,190.0,0.0
1.0,0.0,0.0,0.0,49.0,0.0,7.0,72.62,345.0,0.0
0.0,0.0,1.0,0.0,32.0,0.0,8.0,75.84,284.0,1.0
0.0,0.0,0.0,1.0,66.0,1.0,16.0,87.64,390.0,1.0
0.0,0.0,0.0,1.0,47.0,0.0,15.0,36.66,438.0,0.0
0.0,0.0,0.0,0.0,20.0,1.0,3.0,51.26,72.0,1.0
0.0,1.0,0.0,0.0,69.0,0.0,21.0,82.39,115.0,1.0
1.0,0.0,0.0,0.0,22.0,0.0,2.0,40.33,258.0,0.0
0.0,0.0,1.0,0.0,34.0,1.0,7.0,41.54,358.0,1.0
1.0,0.0,0.0,0.0,60.0,1.0,9.0,40.33,442.0,1.0
0.0,1.0,0.0,0.0,55.0,1.0,13.0,52.33,136.0,1.0
0.0,0.0,0.0,0.0,37.0,0.0,11.0,36.1,280.0,1.0
0.0,0.0,1.0,0.0,23.0,0.0,4.0,36.47,55.0,1.0
0.0,0.0,1.0,0.0,28.0,1.0,18.0,30.87,309.0,1.0
0.0,1.0,0.0,0.0,48.0,0.0,3.0,72.26,266.0,1.0
0.0,0.0,0.0,0.0,35.0,0.0,22.0,35.75,388.0,0.0
0.0,0.0,0.0,0.0,62.0,0.0,15.0,34.96,345.0,0.0
0.0,1.0,0.0,0.0,59.0,1.0,11.0,87.68,52.0,0.0
0.0,0.0,0.0,1.0,61.0,0.0,5.0,34.31,478.0,1.0
0.0,0.0,0.0,0.0,33.0,0.0,20.0,45.49,401.0,1.0
0.0,0.0,0.0,1.0,21.0,1.0,2.0,48.99,472.0,1.0
0.0,0.0,1.0,0.0,68.0,0.0,24.0,60.59,269.0,0.0
0.0,0.0,1.0,0.0,19.0,1.0,18.0,75.56,65.0,0.0
0.0,0.0,0.0,1.0,21.0,0.0,10.0,33.65,163.0,0.0
0.0,0.0,0.0,1.0,30.0,0.0,13.0,32.33,383.0,1.0
0.0,0.0,0.0,1.0,67.0,1.0,1.0,50.04,488.0,1.0
0.0,0.0,1.0,0.0,70.0,0.0,24.0,93.55,497.0,1.0
0.0,0.0,0.0,0.0,48.0,0.0,11.0,83.53,71.0,1.0
0.0,0.0,0.0,1.0,63.0,0.0,19.0,41.08,216.0,0.0
1.0,0.0,0.0,0.0,53.0,0.0,22.0,88.15,229.0,1.0
0.0,1.0,0.0,0.0,60.0,1.0,14.0,38.39,115.0,1.0
0.0,1.0,0.0,0.0,69.0,0.0,3.0,90.34,271.0,1.0
0.0,0.0,0.0,1.0,56.0,1.0,6.0,65.68,223.0,0.0
1.0,0.0,0.0,0.0,29.0,0.0,15.0,92.34,263.0,1.0
0.0,0.0,0.0,0.0,20.0,1.0,16.0,95.27,255.0,1.0
0.0,1.0,0.0,0.0,55.0,0.0,21.0,87.95,145.0,1.0
0.0,1.0,0.0,0.0,52.0,1.0,15.0,77.27,203.0,0.0
1.0,0.0,0.0,0.0,68.0,1.0,16.0,32.89,76.0,0.0
1.0,0.0,0.0,0.0,26.0,1.0,14.0,88.11,336.0,1.0
1.0,0.0,0.0,0.0,51.0,0.0,14.0,52.3,372.0,0.0
1.0,0.0,0.0,0.0,45.0,0.0,2.0,64.6,443.0,0.0
0.0,1.0,0.0,0.0,30.0,1.0,10.0,33.36,306.0,0.0
0.0,0.0,1.0,0.0,57.0,0.0,22.0,49.48,307.0,0.0
0.0,0.0,1.0,0.0,63.0,0.0,3.0,81.12,395.0,0.0
0.0,0.0,1.0,0.0,70.0,1.0,15.0,75.99,73.0,0.0
0.0,1.0,0.0,0.0,18.0,0.0,14.0,85.42,491.0,0.0
0.0,1.0,0.0,0.0,22.0,1.0,2.0,82.8,136.0,0.0
0.0,1.0,0.0,0.0,19.0,0.0,24.0,44.98,427.0,1.0
0.0,1.0,0.0,0.0,34.0,0.0,4.0,81.4,386.0,1.0
1.0,0.0,0.0,0.0,22.0,1.0,4.0,88.11,256.0,1.0
0.0,0.0,0.0,0.0,44.0,1.0,19.0,81.28,448.0,0.0
1.0,0.0,0.0,0.0,63.0,0.0,5.0,89.61,377.0,1.0
0.0,1.0,0.0,0.0,35.0,0.0,13.0,30.93,482.0,1.0
0.0,0.0,1.0,0.0,47.0,0.0,22.0,73.12,324.0,1.0
0.0,0.0,1.0,0.0,19.0,0.0,14.0,59.27,357.0,1.0
0.0,0.0,0.0,0.0,62.0,0.0,5.0,65.15,187.0,1.0
0.0,0.0,0.0,0.0,47.0,1.0,19.0,74.76,397.0,0.0
0.0,1.0,0.0,0.0,20.0,1.0,22.0,36.36,394.0,1.0
1.0,0.0,0.0,0.0,42.0,1.0,24.0,82.02,123.0,0.0
0.0,1.0,0.0,0.0,68.0,0.0,21.0,49.44,149.0,1.0
1.0,0.0,0.0,0.0,42.0,0.0,11.0,36.5,303.0,0.0
1.0,0.0,0.0,0.0,55.0,0.0,13.0,46.37,106.0,0.0
1.0,0.0,0.0,0.0,48.0,1.0,22.0,70.57,296.0,1.0
1.0,0.0,0.0,0.0,38.0,0.0,4.0,55.97,463.0,1.0
0.0,1.0,0.0,0.0,44.0,1.0,9.0,35.46,80.0,0.0
0.0,0.0,0.0,1.0,70.0,1.0,3.0,74.1,211.0,1.0
0.0,0.0,0.0,1.0,41.0,1.0,13.0,62.21,460.0,1.0
0.0,0.0,0.0,1.0,36.0,0.0,4.0,33.98,78.0,1.0
0.0,0.0,0.0,1.0,61.0,0.0,15.0,97.86,499.0,0.0
0.0,0.0,1.0,0.0,60.0,0.0,2.0,89.4,357.0,1.0
0.0,0.0,1.0,0.0,33.0,1.0,24.0,89.1,498.0,1.0
0.0,0.0,0.0,1.0,38.0,0.0,14.0,48.84,424.0,1.0
0.0,0.0,0.0,0.0,59.0,0.0,8.0,71.04,204.0,1.0
1.0,0.0,0.0,0.0,38.0,1.0,17.0,42.76,407.0,1.0
0.0,1.0,0.0,0.0,64.0,0.0,10.0,53.0,325.0,1.0
0.0,0.0,1.0,0.0,35.0,0.0,1.0,34.75,119.0,0.0
0.0,1.0,0.0,0.0,63.0,0.0,4.0,39.25,143.0,0.0
1.0,0.0,0.0,0.0,41.0,0.0,17.0,68.08,71.0,1.0
0.0,0.0,0.0,1.0,46.0,1.0,20.0,68.87,153.0,1.0
0.0,1.0,0.0,0.0,55.0,1.0,4.0,67.92,109.0,0.0
0.0,0.0,0.0,1.0,29.0,1.0,1.0,65.48,295.0,1.0
0.0,0.0,0.0,0.0,45.0,1.0,3.0,46.32,369.0,0.0
0.0,0.0,0.0,0.0,35.0,0.0,4.0,46.19,437.0,0.0
0.0,0.0,0.0,0.0,49.0,1.0,24.0,48.09,492.0,0.0
0.0,1.0,0.0,0.0,47.0,1.0,6.0,52.19,406.0,0.0
0.0,0.0,0.0,0.0,34.0,1.0,7.0,58.2,69.0,0.0
0.0,1.0,0.0,0.0,31.0,1.0,18.0,52.01,397.0,0.0
0.0,1.0,0.0,0.0,20.0,0.0,5.0,59.74,272.0,0.0
0.0,0.0,0.0,1.0,28.0,0.0,6.0,89.31,327.0,1.0
1.0,0.0,0.0,0.0,43.0,1.0,19.0,66.76,352.0,1.0
0.0,0.0,1.0,0.0,22.0,0.0,24.0,59.96,125.0,1.0
0.0,0.0,1.0,0.0,65.0,0.0,9.0,40.35,488.0,1.0
0.0,0.0,0.0,1.0,22.0,0.0,23.0,33.01,112.0,0.0
1.0,0.0,0.0,0.0,52.0,1.0,1.0,44.29,184.0,0.0
1.0,0.0,0.0,0.0,49.0,1.0,7.0,47.28,69.0,1.0
0.0,1.0,0.0,0.0,68.0,0.0,16.0,81.03,82.0,1.0
1.0,0.0,0.0,0.0,31.0,1.0,9.0,36.75,160.0,1.0
0.0,0.0,0.0,0.0,57.0,0.0,21.0,87.93,162.0,1.0
1.0,0.0,0.0,0.0,55.0,0.0,9.0,49.53,333.0,0.0
0.0,0.0,0.0,0.0,41.0,1.0,8.0,98.39,104.0,1.0
0.0,0.0,1.0,0.0,52.0,0.0,7.0,67.9,247.0,0.0
0.0,1.0,0.0,0.0,18.0,1.0,17.0,52.46,411.0,1.0
0.0,0.0,1.0,0.0,52.0,1.0,24.0,82.98,286.0,0.0
0.0,0.0,0.0,0.0,61.0,0.0,1.0,76.62,405.0,0.0
0.0,0.0,0.0,0.0,39.0,0.0,15.0,88.43,353.0,1.0
0.0,0.0,1.0,0.0,55.0,1.0,9.0,58.5,63.0,1.0
1.0,0.0,0.0,0.0,51.0,1.0,9.0,93.41,184.0,1.0
0.0,1.0,0.0,0.0,26.0,1.0,16.0,94.35,253.0,0.0
0.0,0.0,0.0,1.0,21.0,0.0,16.0,73.27,301.0,1.0
0.0,1.0,0.0,0.0,62.0,1.0,21.0,49.08,229.0,1.0
0.0,0.0,0.0,0.0,67.0,1.0,1.0,88.86,405.0,0.0
0.0,1.0,0.0,0.0,35.0,0.0,22.0,64.93,289.0,0.0
1.0,0.0,0.0,0.0,48.0,1.0,20.0,50.54,88.0,0.0
0.0,0.0,0.0,1.0,25.0,1.0,11.0,72.89,101.0,0.0
0.0,0.0,0.0,1.0,30.0,0.0,15.0,50.65,239.0,0.0
1.0,0.0,0.0,0.0,61.0,0.0,10.0,69.25,102.0,1.0
0.0,0.0,1.0,0.0,57.0,0.0,15.0,43.94,346.0,1.0
0.0,0.0,0.0,0.0,50.0,0.0,13.0,67.59,63.0,1.0
0.0,1.0,0.0,0.0,69.0,1.0,12.0,53.13,446.0,1.0
0.0,1.0,0.0,0.0,53.0,0.0,24.0,56.49,185.0,0.0
1.0,0.0,0.0,0.0,41.0,0.0,2.0,51.23,91.0,0.0
0.0,0.0,0.0,0.0,54.0,1.0,19.0,56.82,232.0,0.0
0.0,0.0,0.0,1.0,37.0,0.0,3.0,56.14,385.0,1.0
0.0,0.0,1.0,0.0,54.0,1.0,4.0,93.26,380.0,0.0
1.0,0.0,0.0,0.0,27.0,1.0,24.0,84.76,431.0,0.0
0.0,0.0,0.0,0.0,68.0,1.0,6.0,69.57,419.0,1.0
0.0,0.0,1.0,0.0,32.0,1.0,17.0,35.8,364.0,1.0
0.0,1.0,0.0,0.0,35.0,1.0,11.0,89.84,79.0,0.0
0.0,0.0,1.0,0.0,56.0,0.0,13.0,76.02,300.0,1.0
0.0,0.0,1.0,0.0,23.0,0.0,21.0,63.78,411.0,0.0
